Date,Startup Name,Vertical,Sub-Vertical,City,Investor,Type,Amount (in USD),Remarks
02/02/2015,FirstCry,,,,Valiant Capital Partners,Private Equity,"26,000,000",Series D
02/02/2015,HolaChef,,,,India Quotient,Seed Funding,"325,000",
03/02/2015,Frsh.co.in,,,,"India Quotient, Kae Capital",Seed Funding,"518,000",
03/02/2015,Manthan,,,,"Temasek, Norwest Venture Partners",Private Equity,"60,000,000",Series D
05/02/2015,Kobster.com,,,,Splice Advisors,Seed Funding,N/A,
05/02/2015,Culture Machine,,,,"Tiger Global, Times Internet, Zodius Capital",Private Equity,"18,000,000",Series B
05/02/2015,Paytm,,,,Ant Financial Services (Alipay),Private Equity,N/A,Strategic Investment (25% stake)
05/02/2015,Aisle.co,,,,"Anand Vijay, Shashank Mehrotra & Others",Seed Funding,"100,000",
06/02/2015,FreeCharge,,,,"Valiant Capital, Tybourne Capital, Sequoia Capital, RuNet and Sofina",Private Equity,"80,000,000",Series C
06/02/2015,NewsHunt,,,,"Falcon Edge Capital, Matrix Partners India, Sequoia Capital India and Omidyar Network",Private Equity,"40,000,000",Series C
09/02/2015,MyNoticePeriod,,,,IDG Ventures,Private Equity,"3,000,000",Series A
09/02/2015,CarDekho.com,,,,Ratan Tata,Private Equity,N/A,
09/02/2015,Faasos,,,,Lightbox Ventures,Private Equity,"20,000,000",Series B
10/02/2015,CarTrade.com,,,,Chip Perry,Private Equity,N/A,
10/02/2015,StoreKing,,,,Mangrove Capital Partners,Private Equity,N/A,
11/02/2015,Capital Float,,,,"SAIF Partners, Sequoia Capital, Aspada",Private Equity,"13,000,000",Series A
11/02/2015,Nimble Wireless,,,,AngelPrime,Seed Funding,"3,000,000",
11/02/2015,Townscript,,,,Group of Angel Investors,Seed Funding,N/A,
11/02/2015,FindYahan,,,,"Karan Bajwa, Parvesh Bareja , Sunjay Kapur, Amanpreet Bajaj",Seed Funding,N/A,
12/02/2015,Stayzilla,,,,"Nexus Venture Partners, Matrix Partners",Private Equity,"20,000,000",Series B
12/02/2015,Practo,,,,"Sequoia Capital, Matrix Partners",Private Equity,"30,000,000",Series B
13/02/2015,CimplyFive,,,,"Suresh Senapaty, TV Mohandas Pai",Seed Funding,N/A,
13/02/2015,20Dresses,,,,"Srinivas Aluri, Srinivas Modukury, BS Nagesh",Seed Funding,"1,000,000",
13/02/2015,Itzcash,,,,Ashok Goel (promoter),Private Equity,"16,500,000",Promoter Commitment
16/02/2015,NewsInShorts,,,,"Tiger Global, Rebright Partners, Sachin and Binny Bansal",Private Equity,"4,150,000",Series A
16/02/2015,iTraveller.com,,,,ah! Ventures,Private Equity,"1,000,000",Series A
17/02/2015,NextGen,,,,Mumbai Angels & Group of other investors,Seed Funding,N/A,
18/02/2015,Wooplr.com,,,,Helion Venture Partners,Private Equity,"5,000,000",Series A
19/05/2015,Springleap,,,,Cross Border Angels,Seed Funding,"800,000",
20/02/2015,Klip.in,,,,"Calcutta Angels, Venture Nursery Angels Mumbai Angels",Seed Funding,"500,000",
20/02/2015,Renderlogy,,,,Brick Eagle,Private Equity,"1,600,000",Series A
21/02/2015,Appbase,,,,"DA-IICT, Techstars, Carnegie Mellon University, Startup Brasil program",Seed Funding,"290,000",Grant + Seed funding
23/02/2015,HomeLane,,,,"Sequoia Capital, Ranjan Pai, Mohandas Pai & others",Private Equity,"4,500,000",Series A
23/02/2015,Trip38,,,,"InterGlobe Technology Quotient, Lantern Capital",Private Equity,"1,000,000",Series A
23/02/2015,Smartairtrip.com,,,,Undisclosed,Private Equity,"10,000,000",Series A
23/02/2015,NoBroker,,,,"SAIF Partners, Fulcrum Ventures",Private Equity,"3,000,000",Series A
24/02/2015,Caravan Craft Retail,,,,"Unitus Seed Fund
Narayan Ramachandran, Bijou Kurien",Seed Funding,"500,000",
25/02/2015,SquadRun,,,,"Amit Ranjan, Deepinder Goyal, Zishaan Hayath, Powai Lake Ventures",Seed Funding,N/A,
25/02/2015,Clonect Solutions,,,,"V Balakrishnan, T V Mohandas Pai, BC Prabhakar",Seed Funding,"250,000",
25/02/2015,TaxSutra,,,,"V Balakrishnan, T V Mohandas Pai",Seed Funding,"160,000",
25/02/2015,PepperTap,,,,Sequoia Capital,Seed Funding,N/A,
25/02/2015,Sattviko,,,,"Sumit Jain, Rajat Jain, Sanjay Bhasin",Seed Funding,"320,000",
25/02/2015,IndustryBuying,,,,SAIF Partners,Private Equity,"2,000,000",Series A
26/02/2015,FreshWorld,,,,"Kris Gopalakrishnan, Nagaraja Prakasam",Seed Funding,N/A,
26/02/2015,TinyOwl,,,,"Matrix Partners, Sequoia Capital, Nexus Venture Partners",Private Equity,"16,000,000",Series B
27/02/2015,Momoe,,,,"IDG Ventures India, Jungle Ventures, India Quotient.",Seed Funding,"1,200,000",
27/02/2015,Grofers,,,,"Tiger Global Management, Sequoia Capital India",Private Equity,"10,000,000",Series A
