Date,Startup Name,Vertical,Sub-Vertical,City,Investor,Type,Amount (in USD),Remarks
07/05/2015,Toppr,Online Education Platform,,Mumbai,"Fidelity Growth Partners India, SAIF Partners, Helion Ventures",Private Equity,"10,000,000",Series B
07/05/2015,Vedantu,Online Education Platform,,Bangalore,"Accel Partners, Tiger Global Management",Private Equity,"5,000,000",Series A
08/05/2015,BuyHatke,Online Product Comparison,,Bangalore,"S.Gopalakrishnan, Beenos",Seed Funding,"1,000,000",
08/05/2015,KleverKid,Online Education Platform,,New Delhi,Aarin Capital Partners,Seed Funding,N/A,
08/05/2015,Uniken,Online Security Platform,,Pune,Exfinity Ventures,Private Equity,"2,000,000",Bridge Round Pre-Series B
08/05/2015,GrandOpinion,Online Medical Diagnostic,,New Delhi,Florida based Angel investor,Seed Funding,"150,000",
08/05/2015,HealthifyMe,Health & Fitness App,,Bangalore,Micromax Informatics,Private Equity,N/A,Strategic Investment
12/05/2015,ZapStitch,Cloud Data Integration Platform,,Bangalore,"Helion Venture Partners, Orios Venture Partners",Private Equity,"2,000,000",Pre-Series A
12/05/2015,Wassup,Mobile Laundry Cleaning Service,,Chennai,"Arun Chandra Mohan, Praveen Sinha",Private Equity,"2,000,000",Pre-Series A
12/05/2015,Mobiefit,Mobile Fitness App,,Goa,Prototyze,Seed Funding,N/A,
12/05/2015,Plancess,Online Education Platform,,Mumbai,"Rajendra Gogri, Chandrakant Gogri",Seed Funding,"2,000,000",
12/05/2015,WorkHorse,Service-On-Demand Mobile App,,Mumbai,Undisclosed Investors,Seed Funding,N/A,
13/05/2015,Innovaccer,Intelligent Data Analytics,,Noida,"Rajan Anandan, Teru Sato, Aneesh Reddy, Venkatesh Valluri",Seed Funding,N/A,
13/05/2015,MyCuteOffice,Online Office Rental,,Mumbai,Lead Angels,Seed Funding,N/A,
14/05/2015,IndianRoots.com,Lifestyle Ecommerce Portal,,Gurgaon,KJS Group,Private Equity,"5,000,000",Series B
14/05/2015,RedPolka,Online Fashion Aggregator,,Mumbai,Undisclosed Investors,Seed Funding,"250,000",
15/05/2015,Venturesity,Online Job skills Showcase,,Bangalore,"Phanindra Sama, Jay Sethuram, Hemant Kanakia, Ravi Trivedi",Seed Funding,"270,000",
18/05/2015,TheBetterIndia.com,Online News Media,,Bangalore,Mohandas Pai,Seed Funding,N/A,Pre-Series Bridge
18/05/2015,Awaaz De,Enterprise Communication Platform,,Ahmedabad,Samir Shah,Seed Funding,N/A,
19/05/2015,Chaayos,Offline Tea Chain,,New Delhi,Tiger Global Management,Private Equity,"1,000,000",Series A
19/05/2015,Akosha,Business Messaging App,,New Delhi,Sequoia Capital,Private Equity,"16,000,000",Series B
19/05/2015,Cooey,Health Mobile App,,Bangalore,Subhash Goyal,Seed Funding,"470,000",
19/05/2015,MeetUniv,Online Ed-Tech Platform,,Noida,Peesh Venture Capital,Seed Funding,"1,000,000",
19/05/2015,Inspirock,Online Travel Planning,,,MakeMyTrip Innovation Fund,Private Equity,N/A,
19/05/2015,Crown-it,Hyperlocal Mobile Marketplace,,Gurgaon,"Accel Partners, Helion Venture Partners",Private Equity,"5,500,000",Series A
19/05/2015,Trucksfirst,Trucking Logistic Operations,,Gurgaon,SAIF partners,Private Equity,"10,000,000",Series A
20/05/2015,Lookup,B2C Messaging App,,Bangalore,Biz Stone,Private Equity,"3,000,000",Series A
21/05/2015,SunTerrace,Rooftop Solar Plants,,New Delhi,Sunergy Investors,Private Equity,N/A,
22/05/2015,Nudgespot,Customer Engagement Platform,,Bangalore,"Kae Capital, Anoop Goyal, Mike Shah, VA Sastry",Seed Funding,"625,000",
22/05/2015,CarDekho,Online Car Portal,,Jaipur,HDFC Bank,Private Equity,N/A,1% stake
22/05/2015,EveningFlavors,Online Table Reservation,,Bangalore,Sandiep Shrivatsava,Seed Funding,"500,000",
25/05/2015,Razorpay,Online Payment Gateway,,Bangalore,Punit Soni,Seed Funding,N/A,
25/05/2015,ZenParent,Parents focused Web Content,,Bangalore,i2india Ventures,Seed Funding,"500,000",
25/05/2015,Newgen Payments,Payments Solution Provider,,New Delhi,Jan Manten,Seed Funding,N/A,
26/05/2015,UrbanPro,On-demand Service marketplace,,Bangalore,Nirvana Venture Advisors,Private Equity,"2,000,000",Series A
26/05/2015,Goodbox,On-Demand Business messaging,,Bangalore,Manipal Group,Seed Funding,"200,000",
26/05/2015,Renderlogy,Online Home Dcor,,Hyderabad,Astarc Ventures,Private Equity,"1,000,000",Series A
27/05/2015,Postman,API Workflow platform,,Bangalore,Nexus Venture Partners,Seed Funding,"1,000,000",Series A
27/05/2015,Casa2inns,Affordable Hotel Booking Online,,New Delhi,"Accel Partners, Kalaari Capital",Private Equity,"5,000,000",Series A
27/05/2015,FleetRover,Logistics Intelligence,,Goa,"Tim Chen, Sanjay Venkat",Seed Funding,"180,000",
28/05/2015,TheKarrier,Last Mile Logistics,,Bangalore,"Sol Primero, Outbox Ventures, Nikunj Jain",Seed Funding,"240,000",
28/05/2015,Zoomcar,Self-driven Car rental,,Bangalore,Sequoia Capital,Private Equity,"5,000,000",Series B Interim Funding
28/05/2015,Truweight,Weight Management Service,,Hyderabad,Kalaari Capital,Private Equity,N/A,Series A
30/05/2015,Ather Energy,Electric Scooter Manufacturer,,Bangalore,Tiger Global,Private Equity,"12,000,000",Series A
01/06/2015,Vyomo,Beauty and Wellness Platform,,New Delhi,Aprameya Radhakrishna,Seed Funding,N/A,
01/06/2015,Veeba Foods,Healthy Food Manufacturer,,New Delhi,"DSG Consumer Partners, Saama Capital.",Private Equity,"6,000,000",Series B
01/06/2015,Truebil,Used Car Marketplace,,Mumbai,"Kae Capital, Anupam Mittal",Seed Funding,"500,000",
01/06/2015,Meritnation,Online Learning Platform,,New Delhi,InfoEdge,Private Equity,"4,000,000",Series C
01/06/2015,Eattreatonline,Healthy Food Online Community,,New Delhi,Group of 15 Angel Investors,Seed Funding,"350,000",
01/06/2015,CredR,Used two-wheeler Marketplace,,Mumbai,GrowthStory,Seed Funding,N/A,
01/06/2015,Glamrs,Online Fashion Video Portal,,Mumbai,"Ventureworks India, Blume Ventures, Batlivala & Karani Securities, Nikunj Jhaveri",Private Equity,"1,000,000",Pre-Series A
01/06/2015,Proviera,Probiotic Technology Products Manufacturer,,Chennai,Infuse Ventures,Private Equity,"550,000",
01/06/2015,Arth DesignBuild,Architectural Design & Consulting,,Hyderabad,Srinivas Tirupati,Seed Funding,"500,000",
02/06/2015,Saama,Big Data & Analytics Services,,Pune / US,Carrick Capital Partners,Private Equity,"35,000,000",Series A
02/06/2015,AllIzHealth,Preventive Healthcare Services,,Pune,Mumbai Angels & Other angel investors,Seed Funding,"350,000",
02/06/2015,Karma Healthcare,Tech-enabled Rural Healthcare Services,,Udaipur,Ennovent Impact Investment Holding,Private Equity,N/A,Series A
03/06/2015,Entropy Innovations,Engineering Innovations,,Mumbai,Mark Mobius & 9 Other Angel investors,Seed Funding,N/A,
03/06/2015,Propstack,Real Estate Intelligence Platform,,Mumbai,DMG Information,Private Equity,"3,000,000",Series A
03/06/2015,MyTaxiIndia,Online Car Rental Affiliates,,New Delhi,Green House Ventures,Seed Funding,"100,000",
03/06/2015,Arkin Net,Data Center Software platform,,Pune / US,Nexus Venture Partners,Private Equity,"15,000,000",Series B
03/06/2015,Little Black Book Delhi,Online City & Lifestyle Guide,,New Delhi,"Rajan Anandan, Niraj Singh, Sachin Bhatia, Singapore Angel Network & Aseem Vadehra",Seed Funding,"150,000",
03/06/2015,MyPoolin,P2P Payments platform,,New Delhi,"Sharad Sharma, Rajan Anandan, Sunil Kalra, Amit Ranjan, Rohan Malhotra, Arjun Malhotra, Gautam Gandhi",Seed Funding,N/A,
03/06/2015,iCustomadeit,Bespoke Merchandize Marketplace,,Pune,"Virendra Shahney, Dr Paresh Doshi",Seed Funding,"250,000",
03/06/2015,KAARYAH,Women Lifestyle Marketplace,,Gurgaon,Ratan Tata,Seed Funding,N/A,
04/06/2015,Ecom Express,Logistics Solution Provider,,New Delhi,Warburg Pincus,Private Equity,"137,000,000",Series C
04/06/2015,Vidooly,Video Intelligence Platform,,Noida,Bessemer Venture Partners,Private Equity,"1,000,000",Pre-Series A
04/06/2015,Zopper,Hyperlocal Shopping App,,Mumbai,"Tiger Global, Nirvana Ventures Advisors",Private Equity,"20,000,000",Series C
04/06/2015,Flipkart,eCommerce platform,,Bangalore,Morgan Stanley,Private Equity,"50,000,000",Late Stage
05/06/2015,kWatt Solutions,Renewable energy solutions,,Mumbai,N/A,Seed Funding,"500,000",
05/06/2015,Medwell Ventures,"Healthcare
Service provider",,Bangalore,"Fidelity Growth Partners, Fidelity Biosciences",Private Equity,"10,000,000",Series A
05/06/2015,Jugnoo,Auto Rickshaw Based Services,,Chandigarh,"Snow Leopard, Paytm",Private Equity,"5,000,000",Series A
08/06/2015,PosterGully,Artist / Designer Marketplace,,New Delhi,"Natarajan Iyer,Rajesh Sawhney, & other Angel investors.",Seed Funding,N/A,
08/06/2015,Applied Solar Technologies,Off-grid Solar Power,,Mumbai,"Future Fund,Bessemer Venture, Capricorn Investment and IFC",Private Equity,"40,000,000",Series B
09/06/2015,Clovia,Private Label lingerie Ecommerce,,New Delhi,IvyCap Ventures,Private Equity,"5,000,000",Series A
09/06/2015,Swiggy,Online Food Ordering,,Bangalore,"Norwest Venture Partners, SAIF Partners, Accel Partners",Private Equity,"16,500,000",Series B
09/06/2015,PayMango,Mobile Commerce Platform,,Gurgaon,Group of Angel Investors,Seed Funding,"234,000",
09/06/2015,Printland,Online Printing Services,,New Delhi,SIDBI Venture Capital Ltd,Private Equity,N/A,Series A
09/06/2015,Teritree,Digital Marketing Services,,Bangalore,KCL,Seed Funding,"140,000",
10/06/2015,Guiddoo,Travel Guide Mobile App,,Mumbai,"Pawan Borle, SVP Fly Dubai & Others",Seed Funding,N/A,
10/06/2015,Voonik,Fashion Ecommerce store,,Bangalore,"Sequoia Capital, Seedfund",Private Equity,"5,000,000",Series A
11/06/2015,AdStringO,Mobile Compression Software,,Mumbai,"Arihant Patni, Vishal Khare, Viswanath Ramachandran",Seed Funding,"350,000",
11/06/2015,Faircent.com,Peer to Peer Lending platform,,Gurgaon,M&S Partners Pte. Ltd,Seed Funding,"250,000",Pre-Series A
12/06/2015,La Renon,Global Healthcare products,,Ahmedabad,Sequoia Capital,Private Equity,"16,000,000",Series A
15/06/2015,Homelane,Home Furnishing Solutions,,Bangalore,Sequoia Capital,Private Equity,"50,000,000",Series B
15/06/2015,iSTAR,Skill Training & Placement Platform,,Bangalore,Unitus Seed Fund,Private Equity,N/A,Series A
15/06/2015,Shippr,Intra-City Logistics service,,Bangalore,i2india Pvt Ltd,Seed Funding,"500,000",
16/06/2015,FoodAbhi,online tiffin service aggregator,,Mumbai,Group of angel investors,Seed Funding,N/A,
16/06/2015,Karma Recycling,Electronic Goods recycling service,,Delhi,"Infuse Ventures, Low Carbon Enterprise Fund",Private Equity,N/A,Series A
16/06/2015,CouponRaja,Online Coupon & comparison platform,,Mumbai,"Mahesh Pratapneni, Pallab Chatterjee & others",Seed Funding,"500,000",
17/06/2015,Babychakra,Parents & Kids Online platform,,Mumbai,"Mumbai Angels, Patni Family Office, Singapore Angel Network, Karan Maheshwari, Jatin Aneja, Kishor Ganji, Roopa Nath",Seed Funding,N/A,
17/06/2015,Jiffstore,Online Grocery platform,,Bangalore,"Unitus Seed Fund, Times Internet",Seed Funding,N/A,additional funding round
17/06/2015,MyDentist,Dental Clinic chain,,Mumbai,"LGT Group, Asian Healthcare fund, Seedfund",Private Equity,"8,200,000",Series C
18/06/2015,Moovo,On-Demand Logistics Service,,New Delhi,YouWeCan Ventures,Seed Funding,N/A,
18/06/2015,Fracktal Works,3D Printer Manufacturer,,Bangalore,Neoteric Infomatique Limited,Private Equity,"3,000,000",Series A
18/06/2015,Hansa Customer Equity,IT / Customer Engagement Consulting,,Mumbai,ASK Pravi,Private Equity,"5,000,000",Series A
18/06/2015,HealthifyMe,Health & Fitness App,,Bangalore,"Gopal Srinivasan, Sashi Reddy, Amit Gupta, Pallav Nadhani",Private Equity,N/A,Series A
18/06/2015,CAKART.in,Online Education Marketplace,,Bangalore,Sunil Maheshwari & group of investors,Seed Funding,N/A,
19/06/2015,Housejoy,Home services marketplace,,Bangalore,Matrix Partners,Private Equity,"4,000,000",Series A
19/06/2015,FundsIndia.com,Financial Services Platform,,Chennai,"Faering Capital, Foundation Capital, Inventus Capital Partners",Private Equity,"11,000,000",Series C
20/06/2015,Cupick,Social Network for Artists,,Bangalore,Group of Angel Investors from US/India,Seed Funding,"120,000",
20/06/2015,Tracxn,Startup funding platform,,Bangalore,"Sachin Bansal, Bunny Bansal & other investors",Private Equity,"10,000,000",Series A
21/06/2015,Holachef,Food Delivery Platform,,Mumbai,"Kalaari Capital, India Quotient",Private Equity,"3,100,000",Series A
22/06/2015,belong,Data Driven recruitment recommendation,,Bangalore,"Kunal Bahl, Rohit Bansal, Blume Ventures, Phanindra Sama, Raju Reddy",Private Equity,"5,000,000",Series A
22/06/2015,Ixigo,Travel Search Engine,,Gurgaon,Micromax Informatics,Private Equity,N/A,Strategic Investment
22/06/2015,SkillAngels,Brain Games Platform,,Chennai,Sprout Angels LLP,Seed Funding,N/A,
22/06/2015,Vidgyor,Video Advertisement Platform,,Bangalore,AngelPrime,Seed Funding,"500,000",
22/06/2015,Banihal,Algorithmic Match Making Platform,,New Delhi / California,Dr David Cheriton,Seed Funding,N/A,
23/06/2015,Goodservice,Mobile Chat based concierge service,,New Delhi,Sequoia Capital,Private Equity,"1,600,000",Series A
23/06/2015,Treebo,Online Budget Hotel Booking Service,,Bangalore,"Matrix Partners India, SAIF Partners",Private Equity,"6,000,000",Series A
23/06/2015,EduKart,Online education marketplace,,New Delhi,"Holostik Group, YouWeCan Ventures, 500 Startups, Vijay Shekhar Sharma, Manish Kheterpal, Amit Patni",Private Equity,"1,000,000",Series A
23/06/2015,Healthians.com,Preventive healthcare services,,Hyderabad,YouWeCan Ventures,Seed Funding,N/A,
24/06/2015,LabInApp,Science Learning App,,Bangalore,Unitus Seed Fund,Seed Funding,N/A,
24/06/2015,Syona Cosmetics,Beauty and Wellness platform,,Chennai,Chennai Angels,Seed Funding,N/A,
24/06/2015,Sigrid Education,Online Education Platform,,Noida,Oliphans Capital,Seed Funding,N/A,
24/06/2015,Indix,SaaS product intelligence platform,,,"Nokia Growth Partners, Nexus Venture Partners, Avalon Ventures",Private Equity,"15,000,000",Series C
24/06/2015,The Porter,Logistics Tech,,Mumbai,"Sequoia Capital, Kae Capital, Anupam Mittal, Sandeep Tandon",Private Equity,"5,500,000",Series A
24/06/2015,Retention.ai,App Analytics platform,,Bangalore,"Mercury Fund, Anshu Sharma, Pratyush Prasanna, Robert Winters & others",Seed Funding,"500,000",
25/06/2015,Fusion Microfinance,Micro Finance Platform,,New Delhi,"Development finance institution Belgian Investment Company, Oikocredit",Private Equity,"8,600,000",Series C
25/06/2015,Zinka,Freight logistics platform,,Bangalore,"Accel Partners, Flipkart",Private Equity,"6,000,000",Series A
26/06/2015,CreditMantri,Credit Management Services,,Chennai,"IDG Ventures India, Elevar Equity, Accion Venture Lab",Private Equity,"2,500,000",Series A
26/06/2015,GetMyPeon,Hyperlocal Handyman Services,,Mumbai,Undisclosed investors,Seed Funding,"250,000",
29/06/2015,UrbanClap,Hyperlocal services marketplace,,New Delhi,"SAIF Partners, Accel Partners",Private Equity,"10,000,000",Series A
29/06/2015,StayGlad,Beauty services Mobile Marketplace,,Bangalore,"Tracxn Labs, Sahil Barua",Seed Funding,N/A,
29/06/2015,AdWyze,Marketing / Advertising Automation platform,,Bangalore,Mape Advisory,Seed Funding,"1,000,000",
29/06/2015,Zimmber,Hyperlocal Handyman Services,,Mumbai,"Naveen Tiwari, Mohit Saxena, Amit Gupta, Piyush Shah, Manish Dugar",Seed Funding,"400,000",
30/06/2015,Buttercups,Online Lingerie platform,,Bangalore,"Kanwaljit Singh, Angie Mahtaney, Manoj Varghese",Seed Funding,N/A,
30/06/2015,RailYatri,Railways Information Mobile app,,Bangalore,"Helion Ventures, Omidiyar Network, Blume Ventures and Ujama",Private Equity,N/A,Pre-Series A
30/06/2015,aagaar.com,Hyperlocal grocery delivery,,Gurgaon,Group of Investors,Seed Funding,N/A,
30/06/2015,Flatchat,Flat rental Mobile App,,Bangalore,Commonfloor,Private Equity,"2,500,000",Strategic Funding
30/06/2015,MyCFO,Wealth Management Platform,,Mumbai,Sameer Koticha,Private Equity,"1,500,000",Series A
01/07/2015,Parcelled,Online Logistics Platform,,Bangalore,"Delhivery, Tracxn Labs",Seed Funding,N/A,
01/07/2015,Retigence Technologies,Business IT Intelligence Services,,Mumbai,Omnivore Partners,Private Equity,N/A,Series A
01/07/2015,Cloudcherry Analytics,CRM / Analytics platform,,Chennai,"The Chennai Angels, IDG Ventures India",Seed Funding,"1,000,000",
01/07/2015,HandyHome,Hyperlocal Electronics repair Service,,Mumbai,"Bessemer Ventures, Kae Capital",Seed Funding,"630,000",
01/07/2015,iDreamCareer,Ed-Tech Platform,,New Delhi,"ah! Ventures, Vivek Joshi, Mohit Satyanand & others",Seed Funding,N/A,
01/07/2015,Ola Cabs,Cab rental Mobile app,,Bangalore,Ratan Tata,Private Equity,N/A,Personal Investment
01/07/2015,NxtGen,IT infrastructure & Data Center services,,Bangalore,"IFC, Axon Partners, Intel Capital",Private Equity,"13,500,000",Series A
02/07/2015,BankBazaar,Online Financial Services,,Chennai,"Amazon, Fidelity Growth Partners, Mousse Partners",Private Equity,"60,000,000","Series C
(More here)"
02/07/2015,Gozoomo,Used Car Marketplace,,Bangalore,SAIF Partners,Private Equity,"5,000,000",Series A
02/07/2015,Zenatix,Internet of Things platform,,Gurgaon,"Rajan Anandan, Kunal Bahl, Rohit Bansal, Rahul Khanna",Seed Funding,"161,000",
03/07/2015,CultureAlley,Language Learning App,,Jaipur,Tiger Global,Private Equity,"6,500,000",Series A
03/07/2015,Goqii,Mobile Fitness Marketplace,,Mumbai,Vijay Shekhar Sharma,Private Equity,N/A,Pre-Series A
03/07/2015,Gingercrush,Custom Merchandize platform,,Ahmedabad,"Gokul Jaykrishna, Brand Capital",Seed Funding,"1,000,000",
04/07/2015,Elanic,P2P Pre-owned goods marketplace,,Bangalore,"Rebright Partners, Tracxn Labs, Aneesh Reddy",Seed Funding,N/A,
04/07/2015,Stitchwood,Custom Furniture Marketplace,,Mumbai,"Powai Lake Ventures, Ajeet Khurana & others",Seed Funding,"395,000",
05/07/2015,Urban Tailor,Online Tailoring Services,,Bangalore,Group of angel investors,Seed Funding,N/A,
06/07/2015,ConfirmtTkt,Rail Ticket Confirmation predictor,,Bangalore,Pravin Agarwala & others,Seed Funding,N/A,
06/07/2015,Paper Boat,Ethnic Beverages manufacturer,,Gurgaon,"Sofina, Hillhouse Capital",Private Equity,"30,000,000",Series B
06/07/2015,getNow,Hyperlocal Goods marketplace,,Nagpur,Atulya Mittal,Seed Funding,N/A,
07/07/2015,Wudstay,Budget Accommodation aggregator,,Gurgaon,"Mangroves Capital Partners, Vikas Saxena",Private Equity,"3,000,000",Series A
07/07/2015,Liases Foras,Real Estate Rating & Analysis,,New Delhi,DMG information Asia Pacific,Private Equity,"5,000,000",Series A
07/07/2015,Eatlo,Food Delivery platform,,Bangalore,"Powai Lake Ventures, Globeinvestor, Abhishekh Goyal",Seed Funding,N/A,
07/07/2015,IndiaLends,Financial Tech,,New Delhi,"DSG Consumer Partners, Siddharth Parekh",Private Equity,N/A,Pre-Series A
08/07/2015,Quinto,Food Discovery App,,Pune,Jaydeep Barman,Seed Funding,N/A,
08/07/2015,Saavn,Music Streaming App,,Mumbai,"Tiger Global Management, Bertelsmann India, Steadview Capital, Liberty Media, Mousse Partners, Quilvest",Private Equity,"100,000,000",Series C
08/07/2015,Flytxt,Big Data & Analytics platform,,Mumbai / Global,"Sunrise Capital GmBH, Big Data Investments B.V",Private Equity,"11,000,000",Series A
08/07/2015,Axtria,Big Data & Analytics platform,,India / US,"Helion Venture Partners,Amarpreet Sawhney, Deshpande Foundation, Fred Khosravi, Richard S. Braddock",Private Equity,"30,000,000",Series C
08/07/2015,33Coupons,Coupon Aggregator Platform,,Kanpur,Not Disclosed,Seed Funding,"20,000",
08/07/2015,Ampere,Electric Scooter manufacturer,,Coimbatore,Ratan Tata,Seed Funding,N/A,
08/07/2015,Hopping Chef,Online Food-Tech Platform,,Mumbai,Mirah Hospitality,Seed Funding,"470,000",Strategic Investment
08/07/2015,Collectabillia,Celebrity Fashion Brand,,Bangalore,Accel Partners,Private Equity,"7,500,000",Series B
08/07/2015,Lendingkart,Online Finance lending platform,,Ahmedabad,"Saama Capital, Mayfield, Ashvin Chadha, Shailesh Mehta",Private Equity,"10,000,000",Series A
08/07/2015,Lybrate,Healthcare Mobile App,,New Delhi,"Tiger Global Management, Ratan Tata, Nexus Venture Partners",Private Equity,"10,200,000",Series A
08/07/2015,Zoomcar,Self-driven vehicle rental,,Bangalore,"Sequoia Capital, Empire Angels, NGP",Private Equity,"11,000,000",Series B
09/07/2015,News in shorts,News Aggregator mobile app,,Noida,Tiger Global,Private Equity,"20,000,000",Series B
09/07/2015,Bluestone,Online Jewellery Store,,Bangalore,"IvyCap Ventures, Accel Partners, Dragoneer Investment Group",Private Equity,"16,200,000",
09/07/2015,Shopsity,Fashion Info Aggregator App,,Gurgaon,"Sandeep Aggarwal, Teruhide Sato",Seed Funding,N/A,
09/07/2015,Notesgen,Online Study Notes Marketplace,,New Delhi,"Rajeev Saraf, Arvind Jha, R. Satya Narayanan",Seed Funding,N/A,
10/07/2015,Infinity Assurance,Warranty Programs Service Administration,,New Delhi,Indian Angel Network,Seed Funding,"600,000",
10/07/2015,Footprints Education,Pre-School Chain,,Gurgaon,"LetsVenture, Kumar Bansal, Kshitij Jain",Seed Funding,"685,000",
10/07/2015,Loylty Rewards,Premium Loyalty Rewards Point Management,,Mumbai,IndianIdeas.com,Private Equity,"19,350,000",Late Stage
13/07/2015,Ameyo,Contact Center Software Platform,,Gurgaon,Forum Synergies PE Fund,Private Equity,"5,000,000",Series A
13/07/2015,Mamagoto,Casual Dining restaurant Chain,,New Delhi,Goldman Sachs,Private Equity,"10,000,000",Series A
13/07/2015,Satvacart,Online Grocery Delivery,,Gurgaon,Palaash Ventures,Seed Funding,N/A,
14/07/2015,MySmartPrice,Online comparison engine,,Hyderabad,"Accel Partners, Helion Venture Partners",Private Equity,"10,000,000",Series B
14/07/2015,Zenify,Residential Rental management platform,,Bangalore,Atul Jalan,Seed Funding,N/A,
14/07/2015,Boxmyspace,Physical Storage warehouses,,Mumbai,"Ritesh Veera, Singapore Angel Network, Orios Venture Partners,",Seed Funding,"300,000",
14/07/2015,HackerRank,Tech Recruitment platform,,Bangalore,HR Technology fund,Private Equity,"7,500,000",Series C
14/07/2015,WickedRide,Bike Rental Platform,,Bangalore,Undisclosed,Seed Funding,"790,000",
14/07/2015,WoWexpress,Tech enabled logistics platform,,Mumbai,Tamarind Family Private Trust,Seed Funding,"500,000",
15/07/2015,Oyo Rooms,Budget Hotel Accommodation,,Gurgaon,"Softbank, Sequoia Capital",Private Equity,"100,000,000",Series B
15/07/2015,Mobikon,Restaurant customer engagement platform,,Pune,Jungle Ventures,Private Equity,"2,300,000",Series B
15/07/2015,InstaLively.com,Live video streaming app,,New Delhi,"Anupam Mittal, Anand Chandrasekaran, Uday Shankar, Chetan Bhagat",Seed Funding,N/A,
15/07/2015,Roadrunnr,Hyper local logistics platform,,Bangalore,"Sequoia Capital, Nexus Venture Partners, Blume Ventures",Private Equity,"11,000,000",Series A
16/07/2015,Ketto,Crowd Funding Platform,,Mumbai,"Pradyumna Dalmia, Sudhir Rao & Others",Seed Funding,"700,000",
17/07/2015,QuikWallet,F&B sector Mobile Payment platform,,Mumbai,Snow Leopard Technology Ventures,Private Equity,"1,600,000",Follow on Funding
17/07/2015,Omnikart,Industrial Supplies B2B ecommerce,,Mumbai,"Sumit Gandhi, Manish Gandhi",Seed Funding,"100,000",
20/07/2015,Zo Rooms,Online budget hotel chain,,New Delhi,"Tiger Global, Orios Venture Partners.",Private Equity,"15,000,000",No confirmation
20/07/2015,Innoviti,Payment Solutions platform,,Bangalore,"Catamaran Ventures, New India Investment Corporation",Private Equity,"4,850,000",Series A
21/07/2015,ZenRadius,Online Hiring Platform,,Bangalore,"Tracxn Labs, Deepak Singh",Seed Funding,N/A,
21/07/2015,Joy by nature,Organic Food ecommerce,,New Delhi,"Mumbai Angels, Vriddhi Fund, Others",Private Equity,"1,000,000",Series A
22/07/2015,Iqlect,Big Data & Analytics platform,,Bangalore,Exfinity Venture Partners,Private Equity,"2,000,000",Series A
22/07/2015,deGustibus,Fine Dining Restaurant Chain,,Mumbai,India Value Fund Advisors,Private Equity,"30,000,000",Late Stage
23/07/2015,Nestaway,Luxury Rental Homes,,Bangalore,"Flipkart, Tiger Global",Private Equity,"12,750,000",Series A
23/07/2015,Mswipe,Mobile Point of Sale payment solution,,,"Falcon Edge Capital, Meru Capital, Ola, Matrix Partners, DSG Consumer Partners, Axis Bank",Private Equity,"25,000,000",Series B
23/07/2015,Myonsto,Online Grocers,,Ahmedabad,Jayant Bokadia,Seed Funding,"320,000",
23/07/2015,iCrushiFlush,Casual Dating App,,Mumbai,IDG Ventures India,Seed Funding,N/A,
23/07/2015,MedGenome,Clinical Genomics Provider,,Bangalore,Sequoia Capital,Private Equity,"20,000,000",Series B
23/07/2015,HolidayIQ,Travel information portal,,Bangalore,MakeMyTrip,Private Equity,"15,000,000",Strategic Investment
23/07/2015,Fitternity,Fitness Marketplace,,Mumbai,Exfinity Venture Partners,Private Equity,"1,000,000",Series A
23/07/2015,Quikr,Online & Mobile classified listings,,Mumbai,"AB Kinnevik, Falcon Edge Capital, Coatue Management",Private Equity,"60,000,000",Late Stage
23/07/2015,JetSetGo,Private Jet/ Helicopter Marketplace,,New Delhi,YourWeCan Ventures,Seed Funding,N/A,
24/07/2015,BroEx,Real Estate Broker network App,,Gurgaon,Lightspeed India,Private Equity,"1,000,000",Bridge round
25/07/2015,Shopatplaces,Ethnic/ Traditional Fashion Store,,New Delhi,Indian Angel Network,Seed Funding,N/A,
25/07/2015,CredR,Used Bikes Marketplace,,Mumbai,Fidelity Growth Partners,Private Equity,"15,000,000",Series A
27/07/2015,ManageMySpa,Spa & Salon Management Software,,Hyderabad,Accel Partners,Private Equity,"6,000,000",Series A
27/07/2015,Townrush,B2B logistics delivery platform,,Bangalore,Lightspeed Venture Partners,Seed Funding,N/A,
27/07/2015,Locus,Logistics Automation Platform,,Bangalore,"growX ventures, Manish Singhal",Seed Funding,N/A,
27/07/2015,Bevy,Online Hiring Platform,,Bangalore,Varun Agarwal & Others,Seed Funding,N/A,
28/07/2015,Pepperfry,Online home dcor marketplace,,Mumbai,"Goldman Sachs, Zodius Technology Fund, Bertelsmann India Investments Norwest Venture Partners.",Private Equity,"100,000,000",Series D
28/07/2015,Flipkart.com,Online Marketplace,,Bangalore,Steadview Capital and existing investors,Private Equity,"700,000,000","Late Stage, 10th Round More here"
28/07/2015,Opinio,Hyperlocal food & grocery store,,Bangalore,"Accel Partners, Traxcn Labs & Others",Seed Funding,"1,300,000",
28/07/2015,Zoctr,Health-Tech platform,,Mumbai,"Sandeep Parwal, Krishan Gupta & Others",Seed Funding,"1,000,000",
29/07/2015,Zimmber,Hyperlocal Handyman Services,,Mumbai,"IDG Ventures India, Omidyar Network, Sherpalo Ventures, Mohandas Pai",Private Equity,"2,000,000",Series A
29/07/2015,trueHb,Medical Tech Instruments,,New Delhi,"Sachin and Binny Bansal, Malvinder and Shivinder Singh, Gurpreet Singh & others",Seed Funding,"2,400,000",
